ticker,nome,preco_atual,moeda,variacao_dia_%,max_24h,min_24h,volume_diario,market_cap_formatado,pe_ratio,data_extracao
AAPL,Apple Inc.,257.47,USD,0.23,257.93,253.68,11981112,3.78T,32.59367,2026-03-09 15:48:09
MSFT,Microsoft Corporation,408.45,USD,0.07,409.17,403.5,11035985,3.04T,25.544403,2026-03-09 15:48:11
TSLA,"Tesla, Inc.",388.09,USD,-2.01,392.99,381.4,30168708,1.46T,362.70093,2026-03-09 15:48:12
BTC-USD,Bitcoin USD,68830.17,USD,4.3,69406.77,65975.7,48092774400,1.38T,N/A,2026-03-09 15:48:14
NVDA,NVIDIA Corporation,179.15,USD,0.6,179.48,175.56,68023237,4.35T,36.490837,2026-03-09 15:48:16
AMZN,"Amazon.com, Inc.",210.08,USD,-1.32,212.29,207.11,21655957,2.26T,29.341412,2026-03-09 15:48:18
